CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000011,-0.8738095240462705,1.0932806434474767,0.7207753694382024,0.7364821937422399,1.2718924913085672,0.8394805452967852,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,0.6690022048166299,1.6065808521246883,0.9452231619922185,0.3585037862223784,0.18892310255693232,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000012,-0.6426160179491927,-0.8953476958488447,0.00573181208300758,-0.6797205603131655,-1.6541680467096662,0.2320823344764298,1.2468751766589456,1.3000148289240172,0.8116932563392532,1.5125148983451235,-1.1502462976547503,0.7398956140595863,1.8385306578901672,0.3585037862223784,0.18892310255693232,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000013,-0.6426160179491927,1.0932806434474767,0.00573181208300758,-0.6797205603131655,-0.5310336987834756,0.47504161880457196,-1.1741003609006417,0.2637410275932113,-0.08045417739045481,0.6499492591745901,-0.24062204641906013,0.7398956140595863,-0.841391829803679,0.3585037862223784,-0.9701456617788421,-0.8522453627161305,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
CUS000014,-1.1050030301433484,0.43040453034870296,0.00573181208300758,-0.6797205603131655,1.390117159511324,0.3535619766405009,-1.1741003609006417,0.2637410275932113,-0.9726016111201627,1.5125148983451235,-0.24062204641906013,-0.12678962400551574,0.051915666094269716,1.21037706872222,-0.9701456617788421,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
CUS000015,-0.6426160179491927,1.0932806434474767,-1.424355302627382,0.7364821937422399,-1.2551597915253616,-0.6790149817541032,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,-1.1502462976547503,1.6065808521246883,1.8385306578901672,-0.49336949627746324,0.18892310255693232,0.5375273039353373,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000016,-0.41142251185211476,1.7561567565462506,1.4358189267933974,0.02838081671453721,1.050221238428398,0.7787407242147497,1.2468751766589456,1.3000148289240172,1.703840690068961,1.5125148983451235,-1.1502462976547503,-0.9934748620706177,-0.841391829803679,-0.49336949627746324,-0.9701456617788421,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000017,0.5133515125361968,-0.8953476958488447,0.00573181208300758,-1.3878219373408682,-1.6098337961336324,0.11060269231235875,1.2468751766589456,-0.7725327737375947,-0.9726016111201627,-0.2126163799959432,-1.1502462976547503,-0.12678962400551574,0.051915666094269716,-0.49336949627746324,1.3479918668927067,-2.2420180293675984,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
CUS000018,-0.6426160179491927,-0.23247158275007082,-0.7093117452721873,1.4445835707699426,0.35565131273720113,-1.2864131925744586,1.2468751766589456,0.2637410275932113,-0.08045417739045481,-0.2126163799959432,-0.24062204641906013,1.6065808521246883,0.051915666094269716,-1.345242778777305,0.18892310255693232,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000019,-0.18022900575503686,0.43040453034870296,0.00573181208300758,0.7364821937422399,0.4147636468385796,-0.8612344450002098,-1.1741003609006417,1.3000148289240172,-0.08045417739045481,0.6499492591745901,-2.0598705488904403,1.6065808521246883,0.051915666094269716,1.21037706872222,0.18892310255693232,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000020,-1.1050030301433484,-1.5582238089476184,1.4358189267933974,1.4445835707699426,-0.9448200374931248,0.29282215555846536,0.03638740787915202,0.2637410275932113,-0.08045417739045481,-1.93774765833701,-0.24062204641906013,-1.8601601001357198,-1.7346993257016277,-2.1971160612771463,0.18892310255693232,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
CUS000021,-0.41142251185211476,-0.23247158275007082,-0.7093117452721873,1.4445835707699426,-1.3290502091520846,2.054276966937496,0.03638740787915202,0.2637410275932113,-0.9726016111201627,-1.0751820191664765,-0.24062204641906013,-0.12678962400551574,-0.841391829803679,0.3585037862223784,2.5070606312284816,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000022,-0.8738095240462705,0.43040453034870296,0.00573181208300758,-1.3878219373408682,-0.8561515363410571,-0.49679551850799664,-1.1741003609006417,1.3000148289240172,0.8116932563392532,-0.2126163799959432,-1.1502462976547503,0.7398956140595863,1.8385306578901672,0.3585037862223784,0.18892310255693232,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000023,-0.8738095240462705,0.43040453034870296,0.7207753694382024,0.7364821937422399,-1.6689461302350108,-1.104193729328352,-1.1741003609006417,0.2637410275932113,-0.9726016111201627,1.5125148983451235,-2.0598705488904403,0.7398956140595863,1.8385306578901672,0.3585037862223784,0.18892310255693232,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000024,-0.6426160179491927,0.43040453034870296,0.7207753694382024,0.02838081671453721,-1.0039323715945032,-1.5293724769026007,-1.1741003609006417,0.2637410275932113,-0.08045417739045481,0.6499492591745901,0.6690022048166299,0.7398956140595863,0.9452231619922185,-1.345242778777305,-0.9701456617788421,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
CUS000025,-1.1050030301433484,-0.23247158275007082,-1.424355302627382,0.02838081671453721,-0.35369669647934027,0.11060269231235875,-1.1741003609006417,1.3000148289240172,1.703840690068961,1.5125148983451235,0.6690022048166299,1.6065808521246883,-0.841391829803679,1.21037706872222,0.18892310255693232,-0.8522453627161305,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
