Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner),pca_convenience,pca_service_issue,pca_deal_sensitive,cluster,CustomerID
-0.6426160179491927,-0.8953476958488447,0.0057318120830075,-0.6797205603131655,-1.6541680467096662,0.2320823344764298,1.2468751766589456,1.3000148289240172,0.8116932563392532,1.5125148983451235,-1.1502462976547505,0.7398956140595863,1.8385306578901672,0.3585037862223784,0.1889231025569323,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1.415531021406706,0.9710343320789885,-0.1265887433666989,0,CUS000012
-0.6426160179491927,1.0932806434474769,0.0057318120830075,-0.6797205603131655,-0.5310336987834756,0.4750416188045719,-1.1741003609006415,0.2637410275932113,-0.0804541773904548,0.6499492591745901,-0.2406220464190601,0.7398956140595863,-0.841391829803679,0.3585037862223784,-0.970145661778842,-0.8522453627161305,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0.3563384245691003,-0.22151508380961382,0.8561289335302582,0,CUS000013
-1.1050030301433484,0.4304045303487029,0.0057318120830075,-0.6797205603131655,1.390117159511324,0.3535619766405009,-1.1741003609006415,0.2637410275932113,-0.9726016111201627,1.5125148983451235,-0.2406220464190601,-0.1267896240055157,0.0519156660942697,1.21037706872222,-0.970145661778842,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.3380068782680106,-0.16745704706356854,0.4757766314005868,0,CUS000014
-0.6426160179491927,1.0932806434474769,-1.424355302627382,0.7364821937422399,-1.2551597915253616,-0.6790149817541032,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,-1.1502462976547505,1.6065808521246885,1.8385306578901672,-0.4933694962774632,0.1889231025569323,0.5375273039353373,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.5811229585427258,1.4736213545703924,-0.7289541181339846,0,CUS000015
-0.4114225118521147,1.7561567565462506,1.4358189267933974,0.0283808167145372,1.050221238428398,0.7787407242147497,1.2468751766589456,1.3000148289240172,1.703840690068961,1.5125148983451235,-1.1502462976547505,-0.9934748620706176,-0.841391829803679,-0.4933694962774632,-0.970145661778842,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2.0370890615440636,-1.7040748906161658,-0.7289541181339846,2,CUS000016
0.5133515125361968,-0.8953476958488447,0.0057318120830075,-1.3878219373408682,-1.6098337961336324,0.1106026923123587,1.2468751766589456,-0.7725327737375947,-0.9726016111201627,-0.2126163799959432,-1.1502462976547505,-0.1267896240055157,0.0519156660942697,-0.4933694962774632,1.347991866892707,-2.2420180293675984,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.7028541722685053,-0.6448428088873133,1.2364812356599297,1,CUS000017
-0.6426160179491927,-0.2324715827500708,-0.7093117452721873,1.4445835707699426,0.3556513127372011,-1.2864131925744586,1.2468751766589456,0.2637410275932113,-0.0804541773904548,-0.2126163799959432,-0.2406220464190601,1.6065808521246885,0.0519156660942697,-1.345242778777305,0.1889231025569323,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.24688806926716741,0.837716997919239,-1.3313194929012704,0,CUS000018
-0.1802290057550368,0.4304045303487029,0.0057318120830075,0.7364821937422399,0.4147636468385796,-0.8612344450002098,-1.1741003609006415,1.3000148289240172,-0.0804541773904548,0.6499492591745901,-2.0598705488904403,1.6065808521246885,0.0519156660942697,1.21037706872222,0.1889231025569323,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.19074648743308073,-0.11705452572825,0.4757766314005868,0,CUS000019
-1.1050030301433484,-1.5582238089476184,1.4358189267933974,1.4445835707699426,-0.9448200374931248,0.2928221555584653,0.036387407879152,0.2637410275932113,-0.0804541773904548,-1.93774765833701,-0.2406220464190601,-1.86016010013572,-1.7346993257016277,-2.1971160612771463,0.1889231025569323,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,-1.453341056939703,-2.2859212105212743,-1.9336848676685559,1,CUS000020
-0.4114225118521147,-0.2324715827500708,-0.7093117452721873,1.4445835707699426,-1.3290502091520846,2.054276966937496,0.036387407879152,0.2637410275932113,-0.9726016111201627,-1.0751820191664765,-0.2406220464190601,-0.1267896240055157,-0.841391829803679,0.3585037862223784,2.5070606312284816,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,-1.4716726032407925,-0.7241021063010175,-0.1265887433666989,1,CUS000021
