CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000047,24,3,2,3,147,13.0,2,5,3,5,3,5,4,4,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000048,23,2,5,4,233,14.0,2,3,3,2,2,4,3,3,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000049,23,5,3,5,43,22.0,2,5,4,3,4,4,3,4,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
CUS000050,23,2,2,5,255,16.0,2,3,3,3,3,3,3,3,2.0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000051,24,3,4,2,77,30.0,2,4,2,4,4,5,4,4,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000052,25,2,5,3,30,35.0,3,4,1,1,1,1,1,4,1.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
CUS000053,22,3,1,2,182,38.0,1,4,3,3,2,3,2,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000054,28,2,1,2,118,26.0,2,5,5,3,2,5,4,5,1.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
CUS000055,22,1,2,3,79,73.0,3,4,5,4,3,4,3,4,3.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000056,24,3,3,1,173,47.0,1,5,4,4,5,4,5,4,3.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000057,31,5,5,1,82,20.0,2,5,5,4,3,3,2,2,2.0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
CUS000058,25,4,2,3,76,35.0,1,5,2,3,5,3,2,5,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
CUS000059,23,5,3,4,107,41.0,1,5,3,3,3,5,5,5,3.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000060,22,3,5,5,207,55.0,3,4,4,3,4,4,3,4,1.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000061,23,1,1,2,213,39.0,3,3,1,1,3,3,3,1,3.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000062,23,4,5,4,164,17.0,2,5,5,5,5,5,5,1,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000063,23,2,4,1,247,21.0,3,5,5,5,4,5,3,5,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000064,25,6,3,1,187,63.0,2,4,4,4,5,4,3,3,3.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000065,24,4,3,1,198,22.0,1,3,2,3,2,2,1,2,1.0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000066,23,4,1,4,112,42.0,3,5,3,2,3,5,4,3,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000067,24,4,3,4,236,47.0,2,5,4,5,4,5,4,5,1.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
CUS000068,22,4,1,4,114,45.0,2,2,2,3,4,3,4,2,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000069,24,3,3,3,158,35.0,3,4,5,4,3,3,2,5,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000070,25,3,3,5,143,36.0,2,4,4,4,3,3,2,3,2.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000071,23,2,4,3,256,50.0,1,4,2,3,4,5,4,5,1.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
CUS000072,26,4,5,1,199,16.0,3,5,1,3,4,3,1,5,1.0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
CUS000073,24,3,1,4,219,45.0,2,4,4,5,3,4,2,3,2.0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
CUS000074,26,4,2,3,43,29.0,3,4,4,5,4,4,4,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000075,22,3,2,4,52,57.0,2,5,3,3,1,3,3,5,1.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000076,24,5,3,3,226,68.0,2,4,3,3,3,4,4,4,4.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
CUS000077,24,4,3,3,168,24.0,3,5,4,4,3,4,4,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000078,23,3,3,3,244,42.0,3,3,2,4,3,3,2,2,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000079,23,3,5,1,208,27.0,3,3,1,1,2,1,2,3,2.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000080,22,3,1,2,200,42.0,1,5,3,3,3,3,4,5,3.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000081,23,3,5,5,172,26.0,1,5,3,2,4,4,4,5,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
CUS000082,24,4,2,2,90,40.0,2,5,3,2,3,2,3,4,2.0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000083,25,1,1,2,231,19.0,3,4,5,5,1,1,2,5,2.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000084,28,2,3,4,224,50.0,1,2,1,2,3,1,2,2,3.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000085,27,5,3,1,103,30.0,1,4,4,4,4,5,2,1,2.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000086,26,1,2,2,137,62.0,2,4,4,3,4,4,4,3,4.0,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
CUS000087,22,2,2,4,86,24.0,1,4,5,5,5,4,3,3,,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
