CustomerID,Age,Gender,Marital Status,Occupation,Educational Qualifications,Family size,Frequently used Medium,Frequently ordered Meal category ,Perference,Restaurnat Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,More Offers and Discount,Maximum wait time,Influence of rating
CUS043,23,Male,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),1,4,102,27,3,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,30 minutes,Yes
CUS044,22,Female,Single,Student,Post Graduate,5,Walk-in,Snacks,Non Veg foods (Lunch / Dinner),4,4,195,35,1,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,30 minutes,Yes
CUS045,22,Male,Single,Student,Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,1,49,62,1,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,30 minutes,Yes
CUS046,27,Female,Married,Self Employeed,Post Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),5,4,184,53,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,30 minutes,No
CUS047,24,Female,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),2,3,147,13,2,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,45 minutes,Yes
CUS048,23,Male,Single,Student,Post Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),5,4,233,14,2,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,30 minutes,Yes
CUS049,23,Female,Single,Student,Graduate,5,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),3,5,43,22,2,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,45 minutes,Yes
CUS050,23,Female,Single,Student,Post Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,5,255,16,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,45 minutes,Maybe
CUS051,24,Male,Single,Student,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),4,2,77,30,2,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,30 minutes,Yes
CUS052,25,Male,Single,Student,Post Graduate,2,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),5,3,30,35,3,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,30 minutes,Yes
CUS053,22,Male,Single,Student,Post Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),1,2,182,38,1,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,45 minutes,Yes
CUS054,28,Female,Married,Student,Graduate,2,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),1,2,118,26,2,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,30 minutes,Yes
CUS055,22,Female,Single,Student,Post Graduate,1,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,3,79,73,3,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,60 minutes,Yes
CUS056,24,Female,Single,Student,Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,1,173,47,1,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,60 minutes,Yes
CUS057,31,Male,Married,Employee,Ph.D,5,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),5,1,82,20,2,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,45 minutes,Maybe
CUS058,25,Male,Single,Student,Post Graduate,4,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),2,3,76,35,1,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,30 minutes,Yes
CUS059,23,Male,Single,Student,Post Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,4,107,41,1,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,60 minutes,Maybe
CUS060,22,Male,Single,Student,Post Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,5,207,55,3,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,30 minutes,No
CUS061,23,Male,Single,Student,Post Graduate,1,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),1,2,213,39,3,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,60 minutes,Yes
CUS062,23,Male,Single,Student,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,4,164,17,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,30 minutes,Yes
CUS063,23,Female,Single,Student,Post Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,1,247,21,3,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,45 minutes,Yes
CUS064,25,Male,Single,Student,Post Graduate,6,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,1,187,63,2,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,60 minutes,Yes
CUS065,24,Male,Single,Employee,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,1,198,22,1,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,30 minutes,Yes
CUS066,23,Female,Single,Student,Post Graduate,4,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),1,4,112,42,3,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Neutral,45 minutes,Yes
CUS067,24,Female,Married,Employee,Ph.D,4,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),3,4,236,47,2,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,30 minutes,Yes
